OaSIS Code,OaSIS Label ,Holland Codes - 1,Holland Codes - 2,Holland Codes - 3
65220.0,Pet groomers and animal care workers,R,E,C
65229.0,Other support occupations in personal services,E,c,r
65310.01,Light duty cleaners,R,C,
65310.02,Housekeepers,R,C,s
65311.01,Carpet and upholstery cleaners,R,C,
65311.02,Chimney cleaners and sandblasters,R,c,
65311.03,Furnace and ventilation system cleaners,R,c,
65311.04,Vehicle cleaners,R,c,
65311.05,Window cleaners,R,c,
65312.0,"Janitors, caretakers and heavy-duty cleaners",R,C,e
65320.01,Dry cleaning and laundry machine operators,R,C,
65320.02,Dry cleaning and laundry inspectors and assemblers,R,C,I
65320.03,"Ironing, pressing and finishing workers",R,c,
65329.01,Beauty salon attendants,R,e,
65329.02,Door attendants,R,C,
65329.03,Funeral home attendants,S,E,R
65329.04,Laundromat attendants,R,C,e
65329.05,Parking lot attendants and car jockeys,R,C,E
65329.06,Ticket takers and ushers,S,C,E
65329.07,Other elemental service workers,R,E,C
70010.0,Construction managers,E,R,C
70011.0,Home building and renovation managers,E,R,C
70012.01,Facility operation managers,E,C,R
70012.02,Maintenance managers,E,C,R
70020.01,"Transportation managers, operations",E,C,I
70020.02,"Transportation managers, freight traffic",E,C,I
70021.0,Postal and courier services managers,E,C,i
72010.0,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",E,R,C
72011.0,"Contractors and supervisors, electrical trades and telecommunications occupations",E,C,R
72012.0,"Contractors and supervisors, pipefitting trades",E,R,C
72013.0,"Contractors and supervisors, carpentry trades",E,R,C
72014.0,"Contractors and supervisors, other construction trades, installers, repairers and servicers",E,C,R
72020.0,"Contractors and supervisors, mechanic trades",E,C,R
72021.0,"Contractors and supervisors, heavy equipment operator crews",E,C,R
72022.0,"Supervisors, printing and related occupations",E,C,R
72023.0,"Supervisors, railway transport operations",E,C,i
72024.0,"Supervisors, motor transport and other ground transit operators",E,C,i
72025.0,"Supervisors, mail and message distribution occupations",E,C,i
72100.01,Machinists,R,C,
72100.02,Machining and tooling inspectors,R,C,i
72101.01,Tool and die makers,R,C,i
72101.02,Metal mould makers and patternmakers,R,C,i
72102.0,Sheet metal workers,R,C,i
72103.0,Boilermakers,R,C,i
72104.0,Structural metal and platework fabricators and fitters,R,C,i
72105.0,Ironworkers,R,C,i
72106.01,Welders,R,C,i
72106.02,"Welding, brazing and soldering machine  operators",R,C,i
72200.0,Electricians (except industrial and power system),R,I,C
72201.0,Industrial electricians,R,I,C
72202.0,Power system electricians,R,C,I
72203.0,Electrical power line and cable workers,R,I,C
72204.0,Telecommunications line and cable installers and repairers,R,I,C
72205.01,Telephone installers and repairers,R,I,C
72205.02,Switch network installers and repairers,R,I,C
72205.03,Telecommunications service testers,R,I,C
72205.04,Telecommunications equipment technicians,R,I,C
72205.05,Television cable service technicians,R,I,C
72300.0,Plumbers,R,C,I
72301.01,Steamfitters and pipefitters,R,C,I
